@relation LongParameterList

@attribute NOP_method numeric
@attribute CC_method numeric
@attribute ATFD_method numeric
@attribute FDP_method numeric
@attribute CM_method numeric
@attribute MAXNESTING_method numeric
@attribute LOC_method numeric
@attribute CYCLO_method numeric
@attribute NMCS_method numeric
@attribute NOLV_method numeric
@attribute MaMCL_method numeric
@attribute NOAV_method numeric
@attribute LAA_method numeric
@attribute FANOUT_method numeric
@attribute CFNAMM_method numeric
@attribute ATLD_method numeric
@attribute CINT_method numeric
@attribute MeMCL_method numeric
@attribute CDISP_method numeric
@attribute NOII_type numeric
@attribute NOAM_type numeric
@attribute NOCS_type numeric
@attribute NOM_type numeric
@attribute NMO_type numeric
@attribute ATFD_type numeric
@attribute FANOUT_type numeric
@attribute NOMNAMM_type numeric
@attribute NOA_type numeric
@attribute NIM_type numeric
@attribute DIT_type numeric
@attribute LOC_type numeric
@attribute LOCNAMM_type numeric
@attribute CFNAMM_type numeric
@attribute TCC_type numeric
@attribute NOPA_type numeric
@attribute CBO_type numeric
@attribute RFC_type numeric
@attribute NOC_type numeric
@attribute WMC_type numeric
@attribute LCOM5_type numeric
@attribute WOC_type numeric
@attribute WMCNAMM_type numeric
@attribute AMW_type numeric
@attribute AMWNAMM_type numeric
@attribute NOCS_package numeric
@attribute NOMNAMM_package numeric
@attribute NOI_package numeric
@attribute LOC_package numeric
@attribute NOM_package numeric
@attribute NOPK_project numeric
@attribute NOCS_project numeric
@attribute NOI_project numeric
@attribute NOM_project numeric
@attribute NOMNAMM_project numeric
@attribute LOC_project numeric
@attribute is_long_parameters_list {FALSE,TRUE}

@data
0,2,1,1,2,1,5,1,0,2,0,5,0.333333,3,4,1,3,0,1,0,2,13,9,1,7,24,7,31,538,6,628,613,620,0,0,14,51,0,23,1.044355,0.666667,21,2.555556,3,23,60,1,1234,72,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,1,4,1,0,3,0,4,1,0,1,1,0,0,0,0,0,0,8,1,0,6,8,2,99,3,44,44,94,0.133333,0,34,196,0,9,0.857143,1,9,1.125,1.125,16,76,0,921,92,43,849,78,5788,4778,65687,FALSE
4,0,4,3,0,4,51,8,0,16,0,24,0.555556,11,20,5,14,0,0.785714,1,0,6,18,0,11,31,18,14,0,1,399,399,2090,0.857143,0,30,81,0,45,0.903361,1,45,2.5,2.5,57,132,1,2362,136,43,849,78,5788,4778,65687,FALSE
3,0,1,1,0,1,4,1,0,3,0,5,0,2,2,0,2,0,1,0,0,0,6,0,3,4,6,0,5,2,42,42,57,0,0,12,24,0,7,0,1,7,1.166667,1.166667,57,132,1,2362,136,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,1,4,1,0,3,0,3,0,0,1,0,0,0,0,0,0,0,9,1,1,7,9,1,99,3,72,72,126,0,0,34,198,0,12,1,1,12,1.333333,1.333333,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
4,0,0,0,0,3,23,6,0,5,0,5,0,1,2,0,1,0,1,0,0,0,5,2,0,3,5,0,42,4,66,66,61,0,0,11,60,0,18,0,1,18,3.6,3.6,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
3,0,2,1,0,2,12,4,0,3,0,8,0.5,1,3,2,2,0,0.5,0,8,0,30,12,4,10,22,8,111,3,377,310,1214,0.057143,0,32,208,0,61,0.943966,0.681818,51,2.033333,2.318182,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,1,5,1,0,3,0,4,1,1,2,1,1,0,1,1,29,18,123,17,50,138,94,108,77,2,1957,1669,51801,0.012613,87,145,571,0,273,0.992107,0.404145,234,2.219512,2.489362,38,198,0,4223,240,43,849,78,5788,4778,65687,FALSE
4,1,0,0,1,2,6,2,0,6,0,7,1,0,1,1,0,0,0,1,0,0,7,0,0,0,7,1,0,1,44,44,35,1,0,3,12,0,13,0,1,13,1.857143,1.857143,78,182,2,3615,233,43,849,78,5788,4778,65687,TRUE
3,0,0,0,0,2,11,3,0,6,0,6,0,0,0,0,0,0,0,1,9,8,48,0,17,25,39,54,534,6,1116,1063,1992,0.054054,34,23,104,0,115,0.994878,0.402778,105,2.395833,2.692308,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
4,0,0,0,0,3,23,5,0,6,0,8,1,0,0,2,0,0,0,0,7,0,90,1,0,1,83,18,0,1,2829,2637,54,0.042456,4,1,91,1,252,0.97191,0.84507,242,2.8,2.915663,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
4,0,0,0,0,3,30,7,0,7,0,8,1,0,0,2,0,0,0,0,7,0,90,1,0,1,83,18,0,1,2829,2637,54,0.042456,4,1,91,1,252,0.97191,0.84507,242,2.8,2.915663,50,388,3,8258,437,43,849,78,5788,4778,65687,FALSE
3,0,1,1,0,2,20,3,0,10,0,11,0.5,2,2,1,2,0,1,1,0,2,9,0,2,10,9,2,15,2,158,158,346,0.666667,0,10,36,0,24,0.6875,1,24,2.666667,2.666667,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,20,1,63,-1,0,0,43,4,-1,-1,192,119,0,0,4,11,63,0,63,1.016129,0,43,1,1,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,4,28,4,0,8,0,9,1,0,0,1,0,0,0,1,1,0,9,0,3,9,8,2,15,2,118,101,280,0.4,0,10,31,0,22,0.75,0.857143,19,2.444444,2.375,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
3,0,2,1,0,1,4,1,0,3,0,5,0,2,2,0,3,0,0.666667,1,0,0,9,0,5,9,9,4,17,3,77,77,152,0.166667,0,12,30,0,12,0.9375,1,12,1.333333,1.333333,74,380,4,5031,435,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,3,90,5,0,7,0,16,0.9,3,6,9,3,0,1,0,1,5,15,1,0,4,14,13,538,6,573,568,94,0.095238,1,1,21,0,40,0.972527,0.888889,39,2.666667,2.785714,18,37,0,2462,40,43,849,78,5788,4778,65687,FALSE
3,1,0,0,1,3,20,1,0,3,0,5,1,1,3,3,1,0,1,1,6,1,10,0,0,2,4,7,6,2,90,58,53,0.222222,0,2,19,0,13,0.920635,0.4,7,1.3,1.75,18,37,0,2462,40,43,849,78,5788,4778,65687,FALSE
3,0,0,0,0,4,26,11,0,7,0,7,0,0,0,0,0,0,0,1,27,0,98,4,14,21,71,23,516,4,1350,995,9678,0.071104,4,23,185,0,277,0.980278,0.6,203,2.826531,2.859155,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
3,0,1,1,0,1,4,1,0,4,0,3,0,2,2,0,2,0,1,0,0,0,5,0,2,4,5,1,17,2,51,51,71,0,0,6,33,0,7,1,1,7,1.4,1.4,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
3,0,1,1,0,3,27,4,0,10,0,12,0.5,3,12,1,7,0,0.428571,0,0,0,5,0,3,5,5,3,17,2,90,90,116,0,0,7,39,0,10,1.083333,1,10,2,2,59,322,2,6298,410,43,849,78,5788,4778,65687,FALSE
3,1,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,-1,-1,3,3,0,1,0,0,1,0,1,0,0,1,1,1,3,12,0,237,12,43,849,78,5788,4778,65687,FALSE
7,0,3,1,0,1,29,4,0,9,0,14,0.428571,1,0,3,1,0,1,0,0,0,2,0,5,2,2,3,576,6,37,37,2,1,0,2,5,0,5,1,1,5,2.5,2.5,57,132,1,2362,136,43,849,78,5788,4778,65687,TRUE
7,0,0,0,0,1,19,2,0,15,0,15,0,0,0,0,0,0,0,0,2,0,14,0,2,5,12,4,0,1,153,139,166,0.109091,0,5,23,0,23,0.923077,0.857143,20,1.642857,1.666667,59,322,2,6298,410,43,849,78,5788,4778,65687,TRUE
8,0,0,0,0,1,10,1,0,11,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,1,150,150,0,1,0,0,6,0,22,0,1,22,3.666667,3.666667,59,322,2,6298,410,43,849,78,5788,4778,65687,TRUE
10,0,0,0,0,1,11,1,0,13,0,13,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,1,150,150,0,1,0,0,6,0,22,0,1,22,3.666667,3.666667,59,322,2,6298,410,43,849,78,5788,4778,65687,TRUE
7,4,0,0,4,1,10,1,0,7,0,14,1,0,0,7,0,0,0,0,1,5,4,0,1,4,3,12,0,1,157,149,48,1,2,3,13,0,10,0.833333,0.4,9,2.5,3,30,76,2,1343,128,43,849,78,5788,4778,65687,TRUE
0,0,0,0,0,2,20,5,0,1,0,7,1,3,16,6,8,0,0.375,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214,1,328,11.310345,11.310345,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
1,0,0,0,0,2,7,3,0,1,0,1,0,0,0,0,0,0,0,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214,1,328,11.310345,11.310345,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
2,0,0,0,0,1,3,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,15,4,18,18,24,1,0,1,9,0,4,0,1,4,1,1,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
0,1,0,0,13,1,3,1,0,0,0,1,1,0,0,1,0,0,0,1,8,0,32,0,2,1,24,11,0,1,590,550,72,0.191667,0,3,34,0,174,0.777126,0.578947,166,5.4375,6.916667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
1,1,2,1,1,2,7,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,24,0,22,0,24,2,0,1,669,669,0,0,2,1,24,0,251,1,0.923077,251,10.458333,10.458333,5,33,0,943,34,4,48,1,245,233,6694,FALSE
1,1,0,0,1,2,22,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,24,0,22,0,24,2,0,1,669,669,0,0,2,1,24,0,251,1,0.923077,251,10.458333,10.458333,5,33,0,943,34,4,48,1,245,233,6694,FALSE
0,1,0,0,0,2,17,3,0,6,0,7,1,0,0,1,0,0,0,0,0,0,5,0,14,1,5,1,0,1,174,174,10,0.1,0,1,6,0,45,0.75,1,45,9,9,5,33,0,943,34,4,48,1,245,233,6694,FALSE
1,0,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,14,1,5,1,0,1,174,174,10,0.1,0,1,6,0,45,0.75,1,45,9,9,5,33,0,943,34,4,48,1,245,233,6694,FALSE
1,2,1,1,2,1,4,1,0,1,0,3,0.5,0,1,1,0,0,0,0,0,0,2,1,0,0,2,1,0,2,11,11,5,1,1,2,3,0,2,1,0.666667,2,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
1,0,2,1,0,1,12,1,0,6,0,9,0.333333,2,6,1,3,0,0.666667,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666667,1,213,6.870968,6.870968,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
1,0,0,0,0,1,4,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666667,1,213,6.870968,6.870968,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
0,0,11,1,0,2,48,13,0,3,0,17,0.214286,12,24,3,12,0,1,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911765,1,91,4.333333,4.333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
0,0,0,0,0,3,10,3,0,1,0,4,1,0,0,3,0,0,0,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911765,1,91,4.333333,4.333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
1,0,0,0,0,3,15,3,0,7,0,7,0,1,2,0,1,0,1,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911765,1,91,4.333333,4.333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
1,0,0,0,0,1,3,1,0,1,0,1,0,1,2,0,1,0,1,0,0,0,21,0,44,31,21,17,0,1,569,569,764,1,0,35,53,0,91,0.911765,1,91,4.333333,4.333333,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
5,0,9,2,0,4,48,10,0,6,0,17,0.166667,1,6,2,3,0,0.333333,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214,1,328,11.310345,11.310345,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
4,1,0,0,1,1,4,1,0,4,0,5,1,0,1,1,0,0,0,0,0,0,2,0,0,0,2,1,0,2,14,14,3,1,1,1,3,0,2,2,0.666667,2,1,1,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
4,1,0,0,1,1,3,1,0,4,0,4,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,15,4,18,18,24,1,0,1,9,0,4,0,1,4,1,1,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
3,0,0,0,0,1,3,1,0,3,0,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,4,0,15,4,18,18,24,1,0,1,9,0,4,0,1,4,1,1,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
3,1,0,0,1,2,14,2,0,6,0,9,1,1,2,3,1,0,1,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333,0,15,41,0,62,0.701389,0.923077,61,2.48,2.541667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
4,1,0,0,1,2,14,2,0,7,0,10,1,1,2,3,1,0,1,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333,0,15,41,0,62,0.701389,0.923077,61,2.48,2.541667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
4,1,0,0,1,2,14,2,0,7,0,10,1,1,2,3,1,0,1,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333,0,15,41,0,62,0.701389,0.923077,61,2.48,2.541667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
3,0,0,0,0,2,19,2,0,7,0,10,1,2,6,3,3,0,0.666667,0,1,0,25,0,11,14,24,6,0,1,312,304,670,0.833333,0,15,41,0,62,0.701389,0.923077,61,2.48,2.541667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
3,1,0,0,1,1,5,1,0,3,0,5,1,0,0,2,0,0,0,0,0,0,6,1,0,0,6,1,14,3,50,50,0,1,0,0,6,1,13,0.6,1,13,2.166667,2.166667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
5,1,0,0,4,1,11,1,0,6,0,13,1,0,0,7,0,0,0,1,8,0,32,0,2,1,24,11,0,1,590,550,72,0.191667,0,3,34,0,174,0.777126,0.578947,166,5.4375,6.916667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
3,0,0,0,0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,1,8,0,32,0,2,1,24,11,0,1,590,550,72,0.191667,0,3,34,0,174,0.777126,0.578947,166,5.4375,6.916667,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
4,0,0,0,0,1,3,1,0,4,0,4,0,1,2,0,1,0,1,1,8,0,32,0,2,1,24,11,0,1,590,550,72,0.191667,0,3,34,0,174,0.777126,0.578947,166,5.4375,6.916667,8,97,1,2639,106,4,48,1,245,233,6694,TRUE
3,2,0,0,1,2,11,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,24,0,22,0,24,2,0,1,669,669,0,0,2,1,24,0,251,1,0.923077,251,10.458333,10.458333,5,33,0,943,34,4,48,1,245,233,6694,FALSE
3,1,1,1,1,1,5,1,0,3,0,6,0.666667,0,1,2,0,0,0,0,0,1,1,0,0,0,1,2,0,2,23,23,3,1,2,2,2,0,1,0,0.333333,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
4,2,0,0,2,1,6,1,0,4,0,8,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,4,0,1,16,16,0,1,4,0,1,0,1,0,0.2,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,TRUE
3,2,1,1,2,1,5,1,0,3,0,6,0.666667,0,1,2,0,0,0,0,0,0,1,0,0,0,1,2,0,2,11,11,3,1,2,2,2,0,1,0,0.333333,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
4,2,0,0,2,1,6,1,0,4,0,8,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,4,0,1,16,16,0,1,4,0,1,0,1,0,0.2,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,TRUE
3,3,0,0,3,1,5,1,0,3,0,6,1,0,0,3,0,0,0,0,0,0,2,0,0,0,2,3,0,1,22,22,0,1,3,0,2,1,2,2,0.4,2,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
3,2,1,1,2,1,5,1,0,3,0,6,0.666667,0,1,2,0,0,0,0,0,1,1,0,0,0,1,2,0,2,32,32,3,1,2,2,2,0,1,0,0.333333,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,FALSE
5,2,0,0,2,1,7,1,0,5,0,10,1,0,0,5,0,0,0,0,0,0,1,0,0,0,1,5,0,1,20,20,0,1,5,1,1,0,1,0,0.166667,1,1,1,32,40,0,1690,42,4,48,1,245,233,6694,TRUE
3,0,4,1,0,3,26,8,0,5,0,10,0.2,1,2,1,1,0,1,0,0,0,31,0,173,4,31,2,0,1,828,828,1106,0,0,36,44,0,213,0.666667,1,213,6.870968,6.870968,3,54,0,1422,54,4,48,1,245,233,6694,FALSE
9,1,1,1,1,1,12,1,0,9,0,18,0.888889,0,1,8,0,0,0,0,0,2,2,0,0,0,2,8,0,2,76,76,8,1,8,2,3,0,2,2,0.2,2,1,1,32,40,0,1690,42,4,48,1,245,233,6694,TRUE
2,1,0,0,1,1,6,1,0,2,0,3,1,0,2,1,0,0,0,1,2,0,10,2,5,3,8,5,48,2,115,95,74,0.035714,1,23,81,0,11,0.977778,0.666667,9,1.1,1.125,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
1,0,1,1,0,2,16,3,0,1,0,9,0.833333,3,6,5,3,0,1,1,6,0,17,-1,4,5,11,6,-1,2,181,127,270,0.104762,0,12,29,4,20,0.9375,-1,14,1.176471,1.272727,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
0,0,1,1,0,1,4,1,0,0,0,4,0,1,2,0,1,0,1,1,122,0,201,1,14,18,79,64,31,2,1849,791,30542,0.087762,0,33,336,0,223,0.990469,0.39,93,1.109453,1.177215,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,2,11,2,0,1,0,1,0,1,2,0,1,0,1,3,5,0,10,1,5,4,5,7,0,1,131,79,88,0.047619,1,7,17,1,13,0.984127,0.25,7,1.3,1.4,74,1060,1,22173,1956,66,1571,291,17113,11938,260912,FALSE
0,11,0,0,19,1,4,1,0,0,0,1,1,0,0,1,0,0,0,1,5,1,16,1,1,4,11,10,0,1,401,347,64,0.351648,1,4,22,0,47,0.886667,0.6,38,2.9375,3.454545,96,756,11,17329,801,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,5,1,0,0,0,2,1,0,0,2,0,0,0,0,1,2,52,0,3,6,51,12,0,1,619,613,560,0.032157,4,5,63,0,106,0.968954,0.888889,105,2.038462,2.058824,96,756,11,17329,801,66,1571,291,17113,11938,260912,FALSE
1,13,0,0,13,2,9,2,0,1,0,2,1,1,2,1,1,0,1,1,2,0,28,-1,0,1,26,2,-1,1,188,162,54,0.005291,0,25,29,2,29,0.962963,-1,27,1.035714,1.038462,48,1247,93,18514,1653,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,0,1,0,0,0,0,2,0,5,3,1,0,3,4,4,3,85,50,17,0.5,0,5,13,0,8,0.9375,0.5,4,1.6,1.333333,48,1247,93,18514,1653,66,1571,291,17113,11938,260912,FALSE
1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,4,0,13,-1,7,0,9,7,-1,-1,121,96,0,0,7,4,13,0,13,1.083333,0,9,1,1,48,1247,93,18514,1653,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,1,1,0,0,0,1,15,0,51,-1,0,1,36,1,-1,1,277,183,1879,0.43102,0,18,85,1,52,0.36,-1,37,1.019608,1.027778,48,1247,93,18514,1653,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,-1,0,0,11,0,-1,-1,103,103,0,0,0,8,11,0,11,0,0,11,1,1,7,56,11,966,80,66,1571,291,17113,11938,260912,FALSE
0,1,0,0,1,1,8,1,0,0,0,2,1,0,0,2,0,0,0,0,1,0,4,0,4,4,3,8,0,1,116,53,106,1,0,5,17,0,14,1.166667,1,3,3.5,1,46,268,6,8188,296,66,1571,291,17113,11938,260912,FALSE
1,0,3,1,0,2,24,4,0,2,0,5,0,1,2,0,1,0,1,0,5,5,35,0,96,49,30,33,47,2,2656,2459,9148,0.258065,3,84,275,0,262,0.961676,0.4,231,7.485714,7.7,81,516,24,21006,599,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,5,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,2,0,0,3,1,34,3,23,23,0,1,0,6,46,0,3,0,1,3,1,1,24,157,1,2316,198,66,1571,291,17113,11938,260912,FALSE
0,0,0,0,0,1,4,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,30,1,4,4,30,2,0,1,269,269,963,0.864532,0,15,60,0,33,0.568966,1,33,1.1,1.1,21,154,3,3573,263,66,1571,291,17113,11938,260912,FALSE
3,0,0,0,0,5,26,7,0,5,0,6,1,2,6,1,3,0,0.666667,0,3,1,79,0,5,70,76,8,28,2,1527,1481,12421,0.078947,0,133,185,2,231,0.951923,0.953125,225,2.924051,2.960526,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
3,1,0,0,1,1,11,1,0,3,0,5,1,1,2,2,1,0,1,1,1,0,8,1,1,9,7,3,0,1,92,57,106,0.285714,0,12,21,0,11,0.857143,0.857143,7,1.375,1,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
3,0,2,1,0,3,40,5,0,11,0,13,0,2,10,0,5,0,0.4,0,0,0,5,1,3,2,5,1,2,2,107,107,62,0,0,5,13,0,13,1,1,13,2.6,2.6,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
